0	7.130446
1	11.88923
2	12.868473
3	11.705143
4	0
5	0
6	0
7	1.361137
8	2.200143
9	1.560894
10	2.307568
11	6.338187
12	7.659895
13	9.119032
14	11.473538
15	13.592863
16	10.56441
17	9.638212
18	7.383721
19	6.329622
20	0.824023
21	1.24544
22	0.330871
23	3.484699
24	3.58426
25	6.96911
26	7.313332
27	9.563989
28	11.196996
29	12.150116
30	10.00088
31	8.811982
32	4.377048
33	3.437872
34	0.768767
35	0
36	1.545493
37	3.552026
38	6.231343
39	6.057216
40	12.181647
41	11.328308
42	10.972197
43	9.220291
44	6.054814
45	5.427371
46	0
47	0
48	0
49	0
50	0
51	7.846189
52	0
53	0
54	0
55	0
56	11.521421
57	7.870635
58	2.845646
59	0
60	0
61	0
62	3.675095
63	6.38147
64	6.208787
65	5.860893
66	10.760559
67	11.063024
68	10.092199
69	10.847169
70	6.673083
71	2.900208
72	3.534632
73	1.595183
74	0
75	0.692926
76	4.37483
77	6.283138
