0	7.280658
1	7.399446
2	7.097805
3	0
4	0
5	0
6	0
7	0.215762
8	2.852644
9	2.910112
10	1.033391
11	1.724264
12	6.323122
13	1.482858
14	4.324983
15	5.85623
16	4.574954
17	0
18	0
19	0
20	0
21	0.337651
22	1.810299
23	3.902967
24	3.690594
25	3.367681
26	0
27	6.96293
28	0.272274
29	0
30	0
31	0
32	0.000005
33	0
34	0
35	1.967145
36	1.824631
37	0.026175
38	1.334336
39	0
40	7.984457
41	3.284272
42	0.345657
43	0
44	0
45	0.04417
46	0.000056
47	1.053051
48	1.581516
49	3.360969
50	0
51	6.887514
52	0
53	7.250269
54	1.514443
55	0
56	0
57	0.00085
58	0
59	0
60	0.023663
61	1.689863
62	5.173152
63	6.772814
64	1.737806
65	5.905334
66	1.85159
67	2.576229
68	2.441031
69	0
70	0
71	0
72	0
73	1.076704
74	2.04957
75	2.551486
76	1.079866
77	5.057747
